fof_halo_tag,A1,A0,B1,B0,C1,C0,D1,D0
1494671098612,True,False,False,True,False,True,False,True
1151742039696,True,False,True,False,True,False,True,False
1209843336922,True,False,True,False,False,True,True,False
1227306256790,True,False,True,False,True,False,True,False
1306680762436,True,False,True,False,False,True,False,True
1208899419956,True,False,True,False,False,True,False,True
1311140935134,True,False,True,False,False,True,True,False
1348925009182,True,False,True,False,True,False,False,True
1373060082454,True,False,True,False,True,False,True,False
1253999784334,True,False,True,False,False,True,True,False
1438482129918,True,False,True,False,False,True,True,False
1283845984984,True,False,True,False,False,True,True,False
1487060297044,True,False,True,False,False,True,False,True
1582288651042,True,False,True,False,True,False,True,False
1850277143400,True,False,True,False,True,False,True,False
1783918965964,True,False,True,False,False,True,True,False
1735987632762,True,False,True,False,True,False,True,False
1750920851488,False,True,False,False,False,False,False,False
1896968408060,False,True,False,False,False,False,False,False
1972862140670,True,False,True,False,True,False,False,True
1571496221900,True,False,True,False,False,True,True,False
1733112290416,True,False,True,False,False,True,False,True
1559752720592,True,False,True,False,False,True,True,False
1691205496706,False,True,False,False,False,False,False,False
1970305903216,True,False,True,False,True,False,True,False
1503248044782,True,False,True,False,True,False,True,False
1623898816972,False,True,False,False,False,False,False,False
1603275010602,False,True,False,False,False,False,False,False
1970632419768,True,False,True,False,True,False,True,False
1982067801596,True,False,True,False,False,True,False,True
1881089134910,True,False,True,False,True,False,True,False
1911587837522,True,False,True,False,True,False,True,False
1095883566884,True,False,True,False,True,False,True,False
1343864721240,True,False,True,False,True,False,True,False
1275923152950,True,False,True,False,True,False,True,False
1466748439574,False,True,False,False,False,False,False,False
1363248486538,True,False,True,False,True,False,True,False
1121625543504,True,False,True,False,True,False,True,False
1178460565240,True,False,False,True,True,False,True,False
1085108173742,True,False,True,False,False,True,True,False
1039073065814,True,False,True,False,False,True,False,True
1255620773232,True,False,True,False,False,True,False,True
1170846738724,True,False,True,False,True,False,True,False
1226736508274,True,False,True,False,False,True,True,False
1353738081470,True,False,True,False,False,True,False,True
1384220656598,True,False,True,False,True,False,False,True
1462649432586,True,False,True,False,False,True,True,False
1378179360798,True,False,True,False,False,True,False,True
1383271096708,True,False,True,False,True,False,True,False
1017779168504,True,False,True,False,False,True,False,True
1089545114530,False,True,False,False,False,False,False,False
1320376584016,False,True,False,False,False,False,False,False
1277185397360,True,False,True,False,True,False,False,True
1270847068172,True,False,True,False,True,False,True,False
1491206981188,True,False,True,False,False,True,False,True
1460726699528,True,False,True,False,False,True,True,False
1308301148374,True,False,True,False,True,False,False,True
1087331520502,True,False,True,False,False,True,False,True
1068913974442,True,False,True,False,False,True,True,False
1205770160350,False,True,False,False,False,False,False,False
1179419906284,True,False,True,False,True,False,False,True
1318175918364,True,False,True,False,False,True,False,True
1614080138554,True,False,True,False,False,True,False,True
1895088841014,True,False,True,False,False,True,True,False
1985903014512,True,False,True,False,True,False,True,False
1639499883128,True,False,True,False,True,False,True,False
1557271754092,True,False,True,False,False,True,False,True
1828423425974,True,False,True,False,False,True,True,False
1878913617006,True,False,True,False,True,False,True,False
1576308490098,True,False,True,False,False,True,False,True
1932550961842,True,False,False,True,False,True,False,True
1984304328166,True,False,True,False,True,False,True,False
1937000803298,True,False,True,False,False,True,True,False
1679505614534,True,False,True,False,False,True,False,True
1782068732632,False,True,False,False,False,False,False,False
1826530807092,True,False,False,True,False,True,True,False
248630816714,True,False,True,False,False,True,True,False
204486112996,True,False,True,False,True,False,True,False
154320170402,True,False,True,False,True,False,False,True
15259943374,True,False,False,True,False,True,False,True
352774302568,True,False,True,False,False,True,False,True
300073769184,True,False,True,False,True,False,False,True
318170216958,True,False,True,False,False,True,False,True
262926147212,False,True,False,False,False,False,False,False
346432875094,False,True,False,False,False,False,False,False
86406976152,True,False,True,False,False,True,False,True
153400419972,True,False,True,False,True,False,True,False
3997285974014,True,False,True,False,False,True,True,False
272138662110,True,False,True,False,False,True,True,False
389001343910,True,False,True,False,False,True,False,True
415972803610,True,False,True,False,False,True,True,False
320098119166,True,False,True,False,True,False,True,False
448057317988,True,False,True,False,True,False,True,False
