# Halo group IDs for phase6_stacked_profiles_comprehensive.png
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2),
#             K_core<150 keV cm2 (R3), TPI>0 (R4)
# Columns: row_index  fof_halo_tag  unique_tag  delta1  delta2  K_core  TPI
#

# ── R1  (4,640 halos) ──────────────────────────────
# Description: All DM-relaxed halos (delta1 < 0.07)
# N = 4,640
#  row_index    fof_halo_tag      unique_tag     delta1     delta2      K_core        TPI
         737    990038384494    990038384494    0.03149    0.04494      90.502    -0.4056
         742    146745355902    146745355902    0.04662    0.03501      53.440     2.1907
         743    326465631732    326465631732    0.06927    0.04360     185.527    -0.6481
         745    498876850606    498876850606    0.06327    0.02036      96.957     0.7929
         746    493480623354    493480623354    0.04373    0.04212     168.953     0.7353
         747    162634686436    162634686436    0.01872    0.01253     122.567     0.5952
         749    354739226376    354739226376    0.05735    0.04710     161.327    -1.0585
         752    182935203412    182935203412    0.04401    0.04554     351.760    -0.7603
         759    679537842528    679537842528    0.02017    0.01408      94.488     2.0485
         761    745909300890    745909300890    0.01688    0.05448     172.171     0.0035
         762    933869196144    933869196144    0.02624    0.03712      49.502     3.3183
         763    793541383286    793541383286    0.05293    0.01860     128.580     1.0483
         764    598908175128    598908175128    0.03760    0.02110      41.939     3.7982
         768    653819152210    653819152210    0.03833    0.03276      76.831     1.4363
         769    665569886914    665569886914    0.03358    0.01292      52.671     2.3725
         770    590325131808    590325131808    0.03833    0.01999      94.629     1.4139
         775    929425983862    929425983862    0.02165    0.01967     107.410     2.1895
         777    588121669094    588121669094    0.04456    0.05925     244.642     1.7543
         783   1223730477932   1223730477932    0.04598    0.03014     182.685    -0.4524
         784   1376464402660   1376464402660    0.02361    0.03308     116.847     0.8660
         787   1293289458488   1293289458488    0.03458    0.04189     141.049    -0.9470
         790   1219597377514   1219597377514    0.05552    0.06328     181.251    -2.3397
         791   1106892167120   1106892167120    0.01172    0.03145     187.641     0.4918
         794   1448213289664   1448213289664    0.02896    0.07078     228.099    -1.7604
         795   1314232651208   1314232651208    0.03623    0.01890     175.460     0.2984
