# Shortlist: 30 extreme halos per group
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07, delta2<0.07, K_core<150 keV cm2, TPI>0
# N per group: 30
#

# ── R1  (30 halos) ──────────────────────────────
# Selection: smallest delta_1 (most DM-relaxed)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
    21      8841   2909594840954   2909594840954   0.05441   0.11303     88.472   -3.7134
    22       474   1241600701056   1241600701056   0.04642   0.02658    136.021   -3.6667
    23      2405   3926255036520   3926255036520   0.03210   0.08232    384.675   -3.6476
    24      9148   2515321788026   2515321788026   0.04987   0.10144    329.362   -3.6341
    25      3464    505470931732    505470931732   0.06522   0.03788    290.779   -3.5789
    26      1292   2733233910662   2733233910662   0.05344   0.09946    400.201   -3.5154
    27      1401   2657074798484   2657074798484   0.05880   0.04520    270.340   -3.4893
    28      9037   3980976921860   3980976921860   0.03533   0.04833    301.388   -3.4723
    29      3429   1784367432210   1784367432210   0.05207   0.03945    136.096   -3.4561
    30      1385   2102992397048   2102992397048   0.06225   0.14105    257.499   -3.4505
